Topic,Keywords,Score
Withdrawals,accept direct debit,12.786214170504316
Withdrawals,direct debit accept,11.50081195164207
Withdrawals,car rental,9.874560761813585
Withdrawals,daily limit,8.15296801912045
Withdrawals,direct debit,7.876776528130893
Withdrawals,cash withdrawal,7.651964272891096
Withdrawals,atm withdrawal,7.643358482323414
Withdrawals,monthly fee,7.092156654384194
Withdrawals,withdraw cash,6.593262316848758
Withdrawals,large amount,6.467267777502748
Withdrawals,total balance,6.465832839273396
Withdrawals,deposit cash,6.092824934308201
Withdrawals,total amount,5.546921331148415
Withdrawals,cash deposit,5.092824934308201
Withdrawals,charge fee,4.992990648440326
Withdrawals,accept direct,4.798172676240402
Transfers,real time transfer,12.791727000850258
Transfers,sepa instant,6.866048817548762
Transfers,real time,6.031369302166468
Transfers,sepa transfer,5.668055502689462
Transfers,instant payment,5.53878727835836
Transfers,contact support,5.366254212048542
Transfers,instant transfer,4.360650043014264
Transfers,wait day,4.323727483132782
Transfers,transfer money,4.089101672865258
Transfers,send money,4.066941222096112
Transfers,money arrive,3.9249241216018973
Transfers,receive money,3.562710998825345
Transfers,take day,3.4980872080474263
Transfers,payment system,3.399381176892323
Transfers,time transfer,3.0154391782594914
Transfers,send payment,2.9604260018785453
Transfers,sepa payment,2.7881871345979867
Plans,mastercard credit travel card,16.2753867649524
Plans,travel card mastercard credit,16.2753867649524
Plans,mastercard credit travel,11.182300312015254
Plans,order physical card,9.825581814079886
Plans,order metal card,9.721130650114855
Plans,metal card free,9.430825750956828
Plans,travel card mastercard,9.349092129404646
Plans,travel card membership,9.086141077802502
Plans,card mastercard credit,8.68785010419954
Plans,order new card,8.034747831497839
Plans,credit travel card,8.008851660634988
Plans,order travel card,7.992432671932249
Plans,mastercard credit card,7.72632425201418
Plans,new online card,7.264691170776139
Plans,credit card,7.22561911105128
Plans,card metal,6.959568233250927
Plans,order replacement,6.203225677106278
Plans,card travel,6.092860433702768
Plans,supergreen subscription,6.0522448691564925
Plans,free replacement,6.017855617736526
Plans,premium supergreen,5.948825791070565
Plans,supergreen membership,5.913556704550981
Plans,travel membership,5.871492644984439
Plans,card credit,5.821675852159032
Plans,premium membership,5.736880157169232
Plans,order physical,5.270389608207115
Plans,metal card,5.2531636684231096
Plans,mastercard credit,5.182611543027129
Plans,green plan,5.096661040999951
Plans,premium subscription,5.095386799447368
Plans,virtual card,4.796693450156926
Plans,physical card,4.720331296536905
Plans,travel plan,4.601002728353301
Plans,travel card,4.597675537194281
Plans,order metal,4.412315506122269
Plans,online card,3.975555576749233
Plans,replacement card,3.9741236212561013
