Topic,Keywords,Score,Monthly volume,Keyword Difficulty,CPC (USD),Competitive Density
Plans,metal card,5.2531636684231096,3600.0,63.0,1.3,1.0
Plans,green plan,5.096661040999951,720.0,70.0,0.78,1.0
Accounts,open business account,8.621508122983066,1600.0,82.0,17.6,0.92
Accounts,business account,6.277690810242049,12100.0,91.0,15.41,0.83
Plans,order metal,4.412315506122269,30.0,60.0,1.3,0.82
Cards,credit card,7.22561911105128,368000.0,100.0,8.86,0.79
Cards,card google pay,8.286529195281972,50.0,82.0,3.97,0.7
Cards,credit mastercard,2.666596396023465,260.0,80.0,7.38,0.69
Cards,mastercard credit,5.182611543027129,260.0,80.0,7.38,0.69
Plans,virtual card,4.796693450156926,12100.0,77.0,3.59,0.67
Plans,travel card,4.597675537194281,2900.0,87.0,7.69,0.65
Plans,travel card mastercard,9.349092129404646,170.0,69.0,6.05,0.64
Plans,card travel,6.092860433702768,50.0,82.0,12.45,0.63
Transfers,send money,4.066941222096112,14800.0,84.0,4.24,0.63
Withdrawals,car rental,9.874560761813584,2740000.0,100.0,1.83,0.63
Cards,card credit,5.821675852159032,1300.0,100.0,7.87,0.63
Transfers,transfer money,4.089101672865258,18100.0,86.0,3.79,0.63
Transfers,instant transfer,4.360650043014264,480.0,60.0,4.24,0.62
Accounts,open business,3.769554931345649,3600.0,96.0,4.85,0.6
Cards,pay credit card,6.882018645443885,1600.0,87.0,5.85,0.53
Transfers,payment system,3.399381176892323,1300.0,85.0,4.95,0.47
Plans,travel plan,4.601002728353301,2900.0,85.0,1.01,0.42
Accounts,add business,2.501072686393922,140.0,81.0,14.56,0.41
Local Ibans,bank transfer,3.1073550773780525,3600.0,77.0,4.79,0.41
Local Ibans,swift transfer,5.562364898239316,590.0,62.0,9.55,0.36
Accounts,joint account,4.56687140469251,4400.0,72.0,3.87,0.33
Transfers,send payment,2.9604260018785453,260.0,100.0,4.71,0.33
Cards,google pay,5.952863187338728,368000.0,100.0,2.92,0.32
Cards,pay google,9.83021358504098,368000.0,100.0,2.92,0.32
Plans,travel membership,5.871492644984439,210.0,60.0,1.38,0.3
Plans,free travel,3.3462443751248614,880.0,60.0,2.28,0.29
Transfers,receive money,3.562710998825345,720.0,65.0,3.78,0.29
Plans,replacement card,3.974123621256101,720.0,80.0,0.97,0.27
Cards,card apple pay,8.800013050990387,90.0,100.0,4.86,0.26
Transfers,real time transfer,12.791727000850258,210.0,48.0,3.51,0.25
Plans,physical card,4.720331296536905,260.0,29.0,3.01,0.2
Withdrawals,direct debit,7.876776528130893,1600.0,47.0,6.01,0.19
Accounts,personal account,3.5343709374949235,1300.0,91.0,5.02,0.19
Transfers,instant payment,5.53878727835836,140.0,49.0,2.59,0.19
Accounts,account personal,5.942188611372217,1300.0,91.0,5.02,0.19
Local Ibans,sepa transfer,5.668055502689462,390.0,49.0,3.96,0.18
Cards,use credit card,6.266285483579708,1300.0,64.0,4.26,0.15
Accounts,multiple account,2.616282400116763,720.0,65.0,1.19,0.09
Cards,apple pay,6.117585656821511,201000.0,100.0,2.01,0.09
Cards,pay apple,9.4936813665578,201000.0,100.0,2.01,0.09
Withdrawals,atm withdrawal,7.643358482323414,1000.0,69.0,2.47,0.08
Accounts,share account,2.8559625054090354,720.0,35.0,4.8,0.08
Local Ibans,german bank,3.7774318525006265,1600.0,65.0,4.66,0.06
Withdrawals,deposit cash,6.092824934308201,720.0,69.0,5.52,0.06
Cards,maestro card,3.921482141514872,1600.0,44.0,5.04,0.06
Accounts,personal business,4.298826838169251,1000.0,39.0,2.44,0.05
Withdrawals,cash deposit,5.092824934308201,4400.0,70.0,2.24,0.05
Plans,premium subscription,5.095386799447368,390.0,49.0,1.82,0.05
Transfers,sepa payment,2.7881871345979867,720.0,62.0,4.61,0.05
Withdrawals,monthly fee,7.092156654384194,390.0,49.0,3.71,0.04
Transfers,real time,6.031369302166468,18100.0,76.0,2.88,0.04
Cards,maestro mastercard,5.285431911730168,140.0,47.0,4.77,0.04
Accounts,account owner,2.644912847085216,140.0,35.0,3.55,0.04
Accounts,private account,2.886985510575851,480.0,51.0,2.47,0.04
Withdrawals,cash withdrawal,7.651964272891096,1000.0,72.0,3.76,0.03
Accounts,private business,3.1910459907321425,880.0,72.0,2.66,0.03
Plans,green card,2.5608387690139125,110000.0,97.0,1.5,0.03
Withdrawals,withdraw cash,6.593262316848758,1000.0,72.0,3.76,0.03
Plans,premium membership,5.736880157169232,590.0,78.0,0.71,0.02
Accounts,sub account,4.922502457788639,590.0,35.0,2.91,0.02
Local Ibans,french bank,3.954839789775665,320.0,69.0,3.48,0.02
Cards,apple pay work,9.618294893844066,1900.0,91.0,2.6,0.02
Withdrawals,charge fee,4.992990648440326,210.0,75.0,5.3,0.01
Plans,free premium,3.083406177147737,1600.0,67.0,1.68,0.01
Local Ibans,german iban,5.4353515052140615,170.0,45.0,1.33,0.01
Local Ibans,tax authority,9.803782576580224,720.0,77.0,4.27,0.01
Cards,mastercard maestro,5.180078911583937,70.0,53.0,0.0,0.01
Accounts,close account,3.262231346435051,2400.0,70.0,2.8,0.01
Accounts,access account,2.5359256981897325,8100.0,96.0,2.54,0.01
Local Ibans,dutch bank,4.388098379067529,14800.0,92.0,0.73,0.0
Withdrawals,daily limit,8.15296801912045,260.0,29.0,0.0,0.0
Local Ibans,dutch iban,4.111294165165251,30.0,21.0,0.0,0.0
