,title,tags,text_nohtml,Topic,Metadescription
0,⚡️What’s new in App Update 18.8.0,"['Updates', ""What's New?""]","Hey bunqers! 🌈

We’ve rolled out a new update to our app that includes small new improvements and features that will make your life easy.



iOS

What’s new 🙌

When signing up for a business account, we'll now ask for your VAT number to speed up the process and make life easy. 🚀

What’s fixed 🔨

Sometimes the app would ask you to update to a newer version, but it wouldn't let you. We’ve fixed that.

As a business user, you weren’t always able to activate the Switch Service if your personal account was a guest (free) one. That’s fixed. ⚒️

Some of our business Easy Money users weren’t able to add their cards to Apple Pay. All good now!


Android

What’s new 🙌

When signing up for a business account, we'll now ask for your VAT number to speed up the process and make life easy.  💼

What’s fixed 🔨

Some of you encountered issues when adding money to your account through iDeal. Fixed.

The app would sometimes crash when adding a note to a payment. That’s fixed. 📄

For new users scanning their passports to verify, the app could crash but is fixed now!

The pop up that appears when you long-press “Profile” was broken. All good now. 📲


For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,bunq has rolled out a new update to our app that includes small new improvements and features that will make your life easy .
1,Local Currencies Accounts Fees,"['Knowledge', ""What's New?""]","Hey bunqers 🌈

With bunq, you save on conversion when spending abroad by getting the real exchange rate. With your Easy Money or Easy Green account you can now receive, convert, hold and spend in foreign currencies without having to leave your bunq app with Local Currencies. 

To give you a full fledged local currency account, there will be some changes to our billing policy. 

Open a local currency account in seconds 🌍

FREE for Easy Money and Easy Green personal users
FREE for Easy Money and Easy Green business users

Convert anytime, anywhere 🚀

0.50% Network Fee on the amount you convert.
You’ll get the real market rate! On the weekends, the rates are different as the foreign currency markets close and there is more risk. This results in an additional markup of 0.15%-0.5%, depending on the currencies you wish to convert. For the best rates, choose to convert during the week.


Pay in local currency 💷

Fast Payments available for local currencies, between €0.70 - €6.00. 
SWIFT Payments: €10.00

Receive in local currency 💵

SWIFT: €10.00
For now, only GBP can be received via local payment methods: €0.70

Make a card payment in a local currency 💳

Same currency: No fee
Other currency: Network Fee of 0.5%


For more information on the fees involved with Local Currency accounts, check our Price List.



Want to learn more?
Explore more bunq knowledge here 🌈

",NA,"bunq users can now receive, convert, hold and spend in foreign currencies without having to leave their bunq app with Local Currencies ."
2,Local Currencies 💸,"['Knowledge', ""What's New?""]","Hey bunqers 🌈

Receive, convert, hold and spend in your favorite currency without having to leave your bunq app. Now you can create a sub-account and enjoy handling finances in Dollars, Pounds , Swiss Franc, Poland złoty or Bulgarian lev. Convert them within the app anytime✨

Bank like a local by making payments in the local currency from your bunq account. Paying the rent in Dollars is now possible without any intermediary, so you can really feel at home. 

How to get a Local Currency account?

Go to the Home tab
Press on +Add account
Choose 💵 Local Currencies

How can I convert money?

Go to your brand new local currency account
Click ‘More’
Click Convert ✨

How can I make a payment in a Local Currency for a new recipient?

Go to your Local Currency account
Click on 🟠 Pay 
Enter the amount you want to send 
Select + New Recipient
Enter all the required info **
Select “Send Payment”
Ready 🚀

Different countries require different information regarding the recipient so please make sure to fill all boxes required.

Who can use this feature?

The feature is available for our Easy Money and Easy Green users, no additional fee when you open your Local Currency sub-account. 💸

How do I receive money in my Local Currency account?

You can find your account details in the app, like your IBAN. The Local Currency IBAN is a UK IBAN and has a BIC/SWIFT code: TCCLGB3L.

When someone sends money to your Local Currency account, this is mostly a SWIFT payment. It takes time for these payments to arrive. SWIFT payments can take up to 5 days. There are also fees involved in receiving a SWIFT payment. You can learn more about this here

For GBP accounts, you have local account details in addition to your IBAN. If someone sends Pounds using these account details, it is processed as a Fast Payment (FPS), which is way faster and cheaper than a SWIFT payment. A local account transfer in GBP arrives in seconds! 

The ACH routing number for USD accounts is not yet available, but we plan to offer it soon! ✨

Why do I get a UK IBAN on a Local Currency account?
The foreign currency is not held in the Netherlands, but in the UK.

Can I receive all kinds of currency payments on my Local Currency account?
You can only receive payments in the same currency, so for example a USD payment to your USD account.

Can I do a Direct Debit on my Local Currency account?
We are constantly updating our product and adding features, and this one is on the list, but not available yet!

Can I receive payments from all sources of funds?
To keep the Local Currency safe and responsible, not all sources of funds are allowed. The following sources are restricted for funding a Local Currency account:

Businesses related to weapons
Multi-level marketing
Pawnbrokers
Political organisations 
Precious metals and stones
Adult entertainment
Drug paraphernalia
CBD and related products 
Carbon credits
Crypto currencies
Gambling
Ponzi / pyramid schemes
Firms involved in the servicing of illegal goods/services including but not limited to: counterfeit goods/trademark infringement, human trafficking, child labor, prostitution.

What happens if money comes in from a restricted source or in a currency that’s not supported?
When you receive money in an unsupported currency, or when the money comes from one of the above sources, the funds are returned to the sender. 🚀

Are there gonna be more currencies?

Absolutely yes! And this is where you can be heard - please make sure to vote for the local currency you want to see in our app next right here 💪


Want to learn more?
Explore more bunq knowledge here 🌈
",Local Ibans,"local currency account lets you receive, convert, hold and spend in your favorite currency without having to leave your bunq app ."
3,Spanish IBANs Service Coverage 🇪🇸,"['Updates', 'Knowledge', 'Featured', ""What's New?"", 'Spain']","Hey bunqers! 🌈

As you know with bunq Update 18 we announced the exciting launch of  Spanish IBANs. We’re more than happy to announce that as of 9th of September, you’ll be able to open your first Spanish sub-account by following the process explained here

Spanish Service Coverage 🏦

With the launch of every international branch, we introduce to you, we always make sure to double-check the service coverage across other banks. The majority of Spanish banks have accepted and successfully added our Spanish IBANs to their lists for cooperation. However, there are still some banks that don’t recognize our Spanish IBANs at the moment:

Santander
BBVA
Evo Banco
Imagin Bank
CaixaBank

What does that mean?

This means that you won’t be able to receive and make payments to the banks mentioned above for now. But worry not - we’re working on it and we’ll keep you updated. 

I have issues with other local banks, not mentioned above, what do I do?

Please make sure to contact our Support Team and let us know so that we can investigate this for you. 🚀

Also, make sure to contact the other bank to inform them regarding this issue so they can help us fix that faster! 


Want to learn more?
Explore more bunq knowledge here 🌈

",Local Ibans,"as of 9th of September, youll be able to open your first Spanish sub-account ."
4,bunq Update 18 FAQ 📚,"['Updates', 'Knowledge', 'Features', ""What's New?""]","bunq Update 18 FAQ 📚

Hey bunqers! 🌈 

With the exciting bunq Update 18, here comes a new FAQ. Check out all the details regarding new features that make life easy: 

1. Overview of bunq Update 18

What's new with the latest bunq Update?

With this Update we made sure to focus on two main actionables: provide you with a better local banking experience and improve the app. Now you can add a local European IBAN to your existing bunq account and our Spanish users can get a Spanish IBAN for the best local experience 💸

You can check the most important questions below so that you can learn more on how to bank like a local and also how to use the improved features we prepared for you. 

Make sure to check out the rest of features we prepared for you here ✨

2. Bank like a local

What’s Local IBAN and how do I use it 

To bank like a local, you need a local IBAN. Now you can create your own local IBAN while you keep your Dutch IBAN. Learn more about this here. 

And how does the Local IBAN invoicing work?

When you apply for a foreign sub-account, we have to run some more checks and this can include an additional verification to comply with the local regulations. This is why we charge our personal users  a small one-time fee of €9,99 and business users - €29.99. This fee is applied for each Local branch you choose. 

How does the Local currencies BETA feature work?

If you’re among the first 100 users, you’ll get access to the Local Currencies feature and can report bugs and suggest improvements during the BETA period.  

While you’re using the Beta feature, we’d love to hear your feedback, as well as any bugs you might run into. You can learn more on how to get your BETA version now here

How can I get a Spanish IBAN as a Spanish resident?

Simply open a new sub-account or visit the address settings to get started 🙌
You can check more info on how to get your Spanish IBAN easily here

Can I keep using my existing NL IBANs when I get my Spanish IBAN?

When switching to Spanish IBANs as a Spanish resident this will automatically apply to all your new sub-accounts. However you’re free to keep using your existing Dutch IBANs as usual! 🇪🇺

Is it mandatory to switch to ES IBANs for Spanish residents?

You can keep bunqing as usual with your Dutch IBANs. Looking for Spanish IBANs at a later moment? 🇪🇸 Simply visit the address settings to get started

3. Improved App

What’s new with the Profile tab?

Have access to everything you need easily! Now on the Profile tab you can see your Trophies, exclusive Deals that save you money, Tribes, Add-ons and Common Goals. All with a new and cleaner design. We moved the Events to the Home tab for your convenience. 📲

Never miss a direct debit! How direct debit reminders work?

To make sure that you always accept the direct debits in time we will make sure to send you a reminder that this payment request is about to expire 💌
You can choose to either always accept your direct debits or accept them manually. Learn more about how to set this up here

Let me show you how it works!

Our app is intuitive and our Together pages are always updated but sometimes a little hand from our support team is required! We are here to show you exactly how to find what you need. For more details about it check this topic

App search? How can I search through the app?

On any tab in the app you will see our magical search bar✨
Get to any feature, setting or payment in no time, simply by starting a search from anywhere in your bunq app. 

If you have an iOS device - simply scroll down the screen and the search bar will appear. If you have an Android device - click on the 🔎  button everywhere across the app. 

For these and other improvements, update your app today! 🏃‍♂️

Stay tuned for more updates in the coming weeks!



Want to learn more?
Explore more bunq knowledge here 🌈
",Local Ibans,bunq update 18 brings new features and improvements to the app . you can now add a local European IBAN to your existing bunq account .
5,"Phishing and Spoofing - The new ways of scamming, explained 👀",['Knowledge'],"We always aim to keep you and your funds safe so that you can enjoy the best banking experience. However, sometimes there are things that are out of our control. That’s why we want to make sure you’re aware of scamming techniques, and know how to stay protected.

Our legal department has provided us with a list of pro tips on how to recognize attempts of phishing and spoofing and how to react so that legal actions are taken on time. 

❗️ A list of known scammer websites can be found at the bottom of this page ❗️

Phishing

Phishing is a form of fraud where the scammer will send communication (emails, texts, messages over social media) impersonating reputable companies. The purpose of this is to trick you into sharing your personal details such as passwords, account details, and card numbers.

The main forms of phishing are described here

By getting to know phishing methods you can avoid getting tricked into providing any sensitive data regarding your account.

Spoofing

Scammers have been known to trick their victims by sending fraudulent links via SMS or Whatsapp. These messages are made to seem as if they’re coming explicitly from our bunq telephone number. 

The SMS/Whatsapp message contains a confirmation link or another link which may seem to have something in common with bunq such as a keyword. You will find screenshots of examples below:





Please make sure not to click on anything sent by someone who's pretending to be us regardless of the way the link has been sent - SMS/Whatsapp message or email. It’s best to contact our support team via one of the following ways:

via Support centre through your own account or by clicking here
via support@bunq.com 

Another version of ""spoofing"" is when you receive a message about a potential breach of your account, followed by a phone call from someone who's pretending to be our employee. The person will call you pretending to help secure your account by providing your security code during the conversation or by instructing you to click on some of the links that have been already sent to you via SMS/Whatsapp message and/or email.

bunq will not call you via the phone. If you have any doubts of the message/call's legitimacy, please do not provide any sensitive data to the respective person and contact us through the in-app chat or use support@bunq.com.


Fraudulent verification requests on Marktplaats

Scammers are currently active on Marktplaats and approach unsuspecting sellers or buyers via WhatsApp with so-called verification requests. What will actually happen:

You are selling something on Marktplaats;
Scammer pretends they wanna buy it;
Scammer convinces you via chat that you need to click on a verification link and give them the 6-digit code you receive in order for the payment to go through;
You  click on the link, give out the 6 digits  and lose access to the account. 

You can learn more about this frequent criminal behaviour here


Please be informed that the only way we're communicating with our users is via our in-app chat and official channels for communication, hence make sure to double-check if the text message is coming from an official source. Even then, please make sure to double-check the information provided there and if you have any doubts regarding its legitimacy, don’t hesitate to contact us through our Support Centre.

No institution, bank, or third party should ever request your unique credentials or access code to enter the bunq app. If someone is approaching you with a similar request, please be alert, as this is most likely fraud.

Other types of fraud have been explained here, so please make sure to double-check the information and help us keep you and the world safe.

Known scammer websites
//app-tech.ddns.net/login.html
//app10.ddns.net/login.html
//appweb18.ddns.net/login.html
//updatepagebunq21.eu
//app11.ddns.net/login.html
//apo11.ddns.net/login.html
//app2021.ddns.net/login.html
//b18up75213.info/
//ssl-securedbunq.ddns.net/ssl.html
//updatepagebunq21.eu
//api11.ddns.net/secured.html
//cntrlbq.online
//bunq-berichtpage.ddns.net/inIogpoging.php
//managedbunq.ddns.net/secure.html
//vertrouwde-betaalservice.xyz/pay/612299ad5f834
//confirmation-auth.ddns.net/foreignlogin.html
//www.controlbq.art/
//bunq-update17.eu/inlogpoging.php
//auth-bunq.ddns.net
//controlbq.sytes.net
//check2869.ddns.net/bg
//auth-id.ddns.net
//api18221.ddns.net/bq
//bunq-update17.club/3.php
//bunq-update17.club/3.phpsent
//bit.ly/3xjxxda
//update17bunq.sytes.net/Update/BQ
//rplg.co/Bunq-update17



Want to learn more?
Explore more bunq knowledge here 🌈
",NA,"phishing is a form of fraud where the scammer will send communication emails, texts, messages over social media impersonating reputable companies ."
6,Easily rent a car with your bunq credit card 🚗,"['Knowledge', 'Frequently Asked Questions', ""What's New?""]","Hey bunqers 🌈

Lots of you are using rental car services. We’ve had a few reports of issues with the payment authorization at car rentals when using your bunq card. 

bunq credit cards were not accepted by some car rental companies, because the companies used their own special way of charging for their services. This didn’t comply with Mastercard’s and EU’s regulations. 

We have great news for you! We’ve been working with Mastercard to solve this issue and from now on all bunq users can easily rent a car anywhere 🚗

For more info on how to use your Travel and Metal Card to rent a car, read this Topic here 💳

And in case you experience any issue with renting a car, please make sure to report this to our Support Team so that they can help you right away 💪

Enjoy your ride bunqers, beep beep 🚙



Want to learn more?
Explore more bunq knowledge here ✨
",Plans,weve had a few reports of issues with the payment authorization at car rentals when using your bunq card .
7,Giveaway - Hello Germany! 🇩🇪,['Germany'],"Giveaway - Hello Germany! 🇩🇪 Hello dear bunqer 🌈 Summer is coming, the weather is getting warmer and the sun is daring to come out more and more often. The perfect time to win an exclusive bunq goodies . And do you know what else is perfect? You can also get a € 200 voucher from booking.com . 🏖 Thanks to relaxed measures in Europe and the better availability of vaccines, we will soon be able to make travel plans again! We know that you have missed that too, and we want to support you on your next adventure! 🛫 How can you join bunq n't have a bunq account yet? 🌈 Then accept our invitation and register 👉 https://bunq.app/invite/JoinbunqToday Already bunq ? 🌈 Invite a friend via your personal invitation link (If you are not sure how to do this, just check it out here ) 🌈 The person accepts your invitation and logs on to bunq *! You can take a look at the terms and conditions of the competition here The giveaway ends at 11:59 p.m. CEST on Thursday, July 22, 2021. The 2 winners will be contacted via a message in the app 📩 ** In order to take part in the competition, you must have opened an account with and completed the complete identity verification as described here Do you want to discover more? You can bunq more bunq knowledge here ✨",Plans,"giveaway ends at 1159 p.m. cest on Thursday, July 22, 2021 . 2 winners will be contacted via a message in the bunq app ."
8,Giveaway - Hello Germany! 🇩🇪,['Germany'],"Giveaway - Hello Germany! 🇩🇪

Hey bunqers 🌈

Summer’s coming, the weather is getting warm and the sun shines brighter. What a perfect time to win a special package of bunq goodies . And do you know what’s cool too? You can also receive a €200 voucher from booking.com. 🏖

Now that Europe is relaxing the measures and most people are vaccinated, travelling is at the top of our to-do list! We know you've missed it so we're making it even easier for you to enjoy your next adventure! 🛫

How can I enter the giveaway?

Are you not yet a bunq user?

🌈 Accept our invite and sign up* 👉 https://bunq.app/invite/JoinbunqToday

Are you a bunq user?

🌈  Invite a friend with your own referral link
(If you’re not sure how to do so, don’t worry, you can check here)

🌈  Have a friend accept the invitation and signing up*!

You can check the Terms and Conditions of the Giveaway bunq.com/terms-giveaway"" rel="" nofollow ugc"">here

The giveaway ends at 11:59 pm CEST on Thursday, July 22nd 2021.

The 2 winners will be contacted via in-app messaging 📩
**in order to enter the giveaway you must’ve signed up to bunq and completed the account’s verification steps explained here



Want to learn more?
Explore more bunq knowledge here ✨
",NA,"giveaway ends at 1159 pm CEST on Thursday, July 22nd 2021 ."
9,True Name: Feedback 💬,"['Ask the Community', 'Cards', 'Community']","True Name: Feedback 💬

Hey bunqers! 🌈 

Since the release of our True Name feature we see your growing interest and we’re more than happy to see that you enjoy this new feature.  With that being said, we’d love to hear more on what you think about this feature. You can share your opinion on this new feature here, in this discussion, the feedback from you it’s highly appreciated. So please tell us:

What were your first thoughts when you found out about the True Name?
If you already used it, what does your preferred name mean to you?

My name is Izabella and I’d love to hear from you! If you have any questions, you can share them here or contact the Support Center for further information. 👯‍♀️

First time you hear about True Name? As you know at bunq, we believe in the power of diversity, and there’s no diversity without the true freedom of identity.

From now on, whenever you order a card, you’ll be able to enter a preferred first name of your choice. You’ll have the right to enter the name with which you identify in your daily life.

You can learn more about the True Name feature here 🔎
",Accounts,wed love to hear more on what you think about this new feature .
